bhdid	piN	piS	pin/pis
Brahy.D04G0630200	0.000718947	0.006003146	0.119761646
Brahy.D04G0631700	0.003427803	0.006683641	0.512864664
Brahy.D04G0633200	0.00679262	0.004278046	1.587785925
Brahy.D04G0635000	0.0025382415000000003	0.0048961965	0.5825909855
Brahy.D04G0639700	0.007868634	0.00437809	1.797275613
Brahy.D04G0644600	0.003548411	0.002554082	1.389309813
Brahy.D04G0645400	0.000279374	0.002028373	0.137733113
Brahy.D05G0004300	0.00019607200000000002	0.0036498275	0.0971874165
Brahy.D05G0006900	8.37e-05	0.000118613	0.706071405
Brahy.D05G0008500	0.002521851	0.002974929	0.847701424
Brahy.D05G0019000	0.00015275800000000002	0.0013497140000000001	0.111904652
Brahy.D05G0026400	0.000488857	0.000475462	1.028174257
Brahy.D05G0028700	0.000100984	0.000285476	0.353737661
Brahy.D05G0032700	0.001061238	0.00159489	0.665398934
Brahy.D05G0034300	0.00038756449999999997	0.000510762	0.5651392195
Brahy.D05G0036300	9.52e-05	0.000228137	0.417268242
Brahy.D05G0043400	0.000356109	0.002172727	0.163899467
Brahy.D05G0050600	0.004781708	0.005617754	0.851178033
Brahy.D05G0051100	5.52e-05	0.0002531885	0.22952668
Brahy.D05G0051900	0.000800416	0.001598314	0.500787503
Brahy.D05G0071900	0.002692777	0.001932138	1.39367711
Brahy.D05G0080000	0.000113044	0.000888203	0.127273158
Brahy.D05G0089000	0.0002890705	0.0008984665	0.321737762
Brahy.D05G0098800	0.00187255425	0.00820466375	0.5171053402500001
Brahy.D05G0103900	0.000127248	0.000353984	0.359474041
Brahy.D05G0110200	0.003262885	0.0032742482500000003	1.23382077825
Brahy.D05G0110400	0.00066108	0.000675828	0.978177588
Brahy.D05G0111100	0.0017699425	0.0015072434999999999	1.2825684389999998
Brahy.D05G0114600	0.002389874	0.006248625	0.39182241949999996
Brahy.D05G0114900	0.000199189	0.000398537	0.499800124
Brahy.D05G0116900	0.002827189	0.006972319	0.405487604
Brahy.D05G0124300	0.0012800735	0.0017460705000000001	0.75463205425
Brahy.D05G0127400	0.0008391705	0.001011098	0.9609478650000001
Brahy.D05G0136900	7.21e-05	0.000346545	0.208047945
Brahy.D05G0143900	0.00039126125000000004	0.0022686607499999996	0.19874263175
Brahy.D05G0148900	0.000669716	0.0021258616666666665	0.3244641326666666
Brahy.D05G0151900	0.000507924	0.006635072	0.076551332
Brahy.D05G0155800	0.018853908	0.021621697	0.871990199
Brahy.D05G0160100	0.0082080715	0.00724236275	1.1547667045
Brahy.D05G0161000	0.00073707375	0.001278469	1.12941849025
Brahy.D05G0170700	0.0009830495	0.001219202	0.9195430665
Brahy.D05G0180500	6.45e-05	0.000179905	0.358377424
Brahy.D05G0184300	0.000666333	0.001875293	0.355322339
Brahy.D05G0198900	0.000580782	0.0008145165	0.7285124355
Brahy.D05G0204100	0.000585144	0.003680107	0.159001987
Brahy.D05G0206600	0.0011474550000000001	0.0024446696666666663	0.4648420096666667
Brahy.D05G0210400	0.003433843666666667	0.003465461	0.9846552803333334
Brahy.D05G0210500	0.0059369257500000005	0.008496083500000001	0.6976094315
Brahy.D05G0211500	7.677500000000001e-05	0.001541235	0.061635965
Brahy.D05G0212100	0.000799891	0.000503943	1.587264275
Brahy.D05G0213100	0.006202134	0.008605449	0.720721724
Brahy.D05G0222200	0.00048472049999999996	0.001590958	0.271174561
Brahy.D05G0230700	0.00782089975	0.010171167	0.76989138825
Brahy.D05G0244000	0.00491345875	0.00737397075	0.6923755659999999
Brahy.D05G0247500	0.000264054	0.00044270050000000003	0.5633544835
Brahy.D05G0252800	9.35e-05	0.000739603	0.126353646
Brahy.D05G0253800	1.93e-05	0.000559643	0.034499945
Brahy.D05G0255800	0.0021294614999999998	0.0030026124999999997	1.054657815
Brahy.D05G0258900	0.000254136	0.000766754	0.331443631
Brahy.D05G0266700	0.015149867	0.014612067	1.0440268655
Brahy.D05G0269600	0.000101093	0.000247164	0.409013327
Brahy.D05G0274100	0.000785248	0.001119824	0.701224931
Brahy.D05G0285500	0.0024242547500000003	0.001969153	1.23528077925
Brahy.D05G0287900	0.0010211943333333334	0.0005748756666666667	1.7880276606666665
Brahy.D05G0288800	0.00120404	0.0042603425	0.2954355045
Brahy.D05G0289300	0.0020878942	0.0011820938	2.475739597
Brahy.D05G0294700	0.00032034800000000003	0.0027822695	0.11376577399999999
Brahy.D05G0305700	0.000740733	0.0008283749999999999	0.9150480242000001
Brahy.D05G0306700	0.00022530100000000002	0.001052045	0.20993857999999999
Brahy.D05G0307900	0.000172878	0.000136132	1.269930018
Brahy.D05G0311400	0.001107357	0.0077595725	0.158692801
Brahy.D05G0311800	0.009871297	0.005388011	1.832085499
Brahy.D05G0315300	0.000140585	0.000384165	0.365950142
Brahy.D05G0316200	0.001388833	0.000158769	8.747527087
Brahy.D05G0320500	0.000447728	0.001432811	0.312482011
Brahy.D05G0332600	0.0039056052500000002	0.00418130825	0.93372864675
Brahy.D05G0333700	4.26e-05	0.000576369	0.073831358
Brahy.D05G0334300	0.001020975	0.0013165445	1.02016898975
Brahy.D05G0342800	0.00032922966666666664	0.0005195193333333333	0.616290245
Brahy.D05G0346300	0.000674266	0.0010097035	0.552043224
Brahy.D05G0346600	0.0007644675	0.001935491	0.381866183
Brahy.D05G0348500	0.000722679	0.001575447	0.45871351
Brahy.D05G0351100	0.000979188	0.003293703	0.297291001
Brahy.D05G0354100	4.19e-05	0.000365832	0.114434809
Brahy.D05G0356700	0.001561116	0.002195516	0.711047154
Brahy.D05G0360400	0.001096161	0.00330329	0.331839005
Brahy.D05G0364600	0.000460822	0.000182984	2.518372191
Brahy.D05G0365500	0.0006086864	0.0012181154000000002	0.8420079035999999
Brahy.S01G0002000	3.91e-05	0.000144885	0.270098768
Brahy.S01G0002100	0.00634626	0.008836708	0.71817018
Brahy.S01G0007300	0.003940338	0.004407283	0.894051381
Brahy.S01G0008700	0.000140981	0.000392514	0.359173651
Brahy.S01G0029600	0.002209246	0.002587145	0.853932229
Brahy.S01G0034200	0.003445171	0.005181008	0.66496158
Brahy.S01G0035400	0.004261515	0.011890918	0.358384006
Brahy.S01G0040800	0.001984649	0.006680886	0.297063687
Brahy.S01G0044800	0.002800802	0.004036135	0.693931681
Brahy.S01G0048000	0.000787916	0.001281479	0.614848838
Brahy.S01G0049800	0.002716432	0.008502668	0.319479892
Brahy.S01G0064100	5.2600000000000005e-05	0.0005305875	0.1021266485
Brahy.S01G0064300	0.002344086	0.001897011	1.235673258
Brahy.S01G0066100	0.001115304	0.004972216	0.224307215
Brahy.S01G0074100	0.00052352	0.000988052	0.529851041
Brahy.S01G0074600	0.006220811	0.016346868	0.380550617
Brahy.S01G0076100	9.07e-05	0.001956368	0.046382629
Brahy.S01G0078000	0.000301512	0.000841564	0.358275135
Brahy.S01G0080300	0.001559801	0.003641119	0.428385233
Brahy.S01G0087600	0.00306425	0.003347349	0.915426027
Brahy.S01G0092900	0.000250423	6.41e-05	3.90920073
Brahy.S01G0093600	0.002711029	0.000859345	3.154761119
Brahy.S01G0098000	0.002612751	0.003090643	0.845374383
Brahy.S01G0102900	0.000142344	0.000710188	0.200431438
Brahy.S01G0103900	0.002972556	0.007850109	0.378664266
Brahy.S01G0105400	0.004248409	0.007297106	0.5822046
Brahy.S01G0112300	0.004695448	0.009799918	0.479131342
Brahy.S01G0115100	0.000229115	0.000255343	0.897282211
Brahy.S01G0120500	0.000261917	0.000580686	0.451048015
Brahy.S01G0128800	0.000691569	0.002286693	0.30243212
Brahy.S01G0131300	0.004874847	0.003933052	1.239456401
Brahy.S01G0131500	0.001936884	0.000583614	3.318773504
Brahy.S01G0134900	0.000468458	0.001077223	0.434875644
Brahy.S01G0137500	0.000814691	0.000980006	0.831311762
Brahy.S01G0141200	0.00181402	0.003635813	0.498931024
Brahy.S01G0142000	0.0009798685	0.007085509	0.13914538399999998
Brahy.S01G0149400	9.81e-05	0.000310794	0.315503905
Brahy.S01G0150500	0.004076889	0.005074107	0.803469303
Brahy.S01G0158100	0.000320017	0.001068433	0.299520025
Brahy.S01G0160700	0.000444153	0.000811142	0.547565924
Brahy.S01G0164700	0.00021761	0.001792648	0.121390076
Brahy.S01G0164900	8.88e-05	0.000211579	0.419553419
Brahy.S01G0165100	0.000202236	0.000705609	0.286612196
Brahy.S01G0168700	0.000224719	0.003715472	0.060481984
Brahy.S01G0171700	0.004133574	0.004087703	1.011221742
Brahy.S01G0172100	0.001211622	0.001726374	0.701830675
Brahy.S01G0182200	0.000213852	0.00362915	0.058926084
Brahy.S01G0183600	0.00203202	0.002490971	0.81575412
Brahy.S01G0187100	0.000200958	0.001259312	0.159577823
Brahy.S01G0187200	0.000182148	0.000544193	0.334711956
Brahy.S01G0187700	0.018510621	0.037054269	0.499554336
Brahy.S01G0191800	0.000355727	0.000898815	0.395773541
Brahy.S01G0192000	0.00372233	0.008417411	0.442217864
Brahy.S01G0196100	0.002966278	0.004756779500000001	0.683807088
Brahy.S01G0205000	0.00053732	0.001093195	0.491513799
Brahy.S01G0211300	0.001568379	0.003994247	0.392659496
Brahy.S01G0212300	0.000967239	0.007752329	0.124767494
Brahy.S01G0217200	0.005517821	0.00139872	3.944907176
Brahy.S01G0231500	0.00272817	0.002884517	0.945797922
Brahy.S01G0237100	0.000180555	0.001059843	0.170360122
Brahy.S01G0237400	0.00047877300000000005	0.000503445	1.0116836525
Brahy.S01G0238700	0.000475162	0.003438487	0.138189179
Brahy.S01G0239200	0.00367202	0.014641315	0.25079854
Brahy.S01G0239700	0.001115802	0.004589019	0.243146158
Brahy.S01G0243300	0.002354491	0.001201423	1.959752014
Brahy.S01G0248500	0.000551243	0.003525303	0.156367425
Brahy.S01G0251800	4.52e-05	0.000197312	0.229274108
Brahy.S01G0258500	0.00032541300000000004	0.000438415	0.729352243
Brahy.S01G0269100	0.003846271	0.00287768	1.336587249
Brahy.S01G0277800	0.001899532	0.002293905	0.828077746
Brahy.S01G0278400	0.000967287	0.000681733	1.418864905
Brahy.S01G0279100	0.000612229	0.000819056	0.747481443
Brahy.S01G0283600	0.003057375	0.00991463	0.30837011
Brahy.S01G0284700	0.006065765	0.024875164	0.243848233
Brahy.S01G0285600	0.013622757	0.006785823	2.00753221
Brahy.S01G0290200	0.000637402	0.000404259	1.576717204
Brahy.S01G0292800	0.000510465	0.005970149	0.085502808
Brahy.S01G0297500	0.000846456	0.003813012	0.221991331
Brahy.S01G0298400	0.001340663	0.001058861	1.266136629
Brahy.S01G0313900	0.001736806	0.00406089	0.42769094
Brahy.S01G0315800	0.002198708	0.001611924	1.364027067
Brahy.S01G0318000	0.002488315	0.001723818	1.44349057
Brahy.S01G0332500	0.003555809	0.00261406	1.360262835
Brahy.S01G0332600	2.27e-05	9.97e-05	0.227619573
Brahy.S01G0333200	0.000838906	0.002644764	0.317194936
Brahy.S01G0337300	0.004435365	0.005924852	0.748603543
Brahy.S01G0339500	0.013008455	0.011497267	1.131438867
Brahy.S01G0346700	0.000863153	0.001766464	0.488633065
Brahy.S01G0355800	0.000516814	0.000405103	1.275761349
Brahy.S01G0357400	0.000157163	0.006319516	0.02486948
Brahy.S01G0357600	0.040218195	0.017740769	2.266992757
Brahy.S01G0357800	0.022556804	0.021622153	1.043226544
Brahy.S01G0368900	0.007596351	0.011210113	0.677633779
Brahy.S01G0369600	0.00011832	0.000225342	0.525071373
Brahy.S01G0371900	0.009667793	0.014264841	0.677735726
Brahy.S01G0377600	0.000139445	0.003311764	0.042105858
Brahy.S01G0385200	0.007615977	0.007746495	0.98315131
Brahy.S01G0405100	0.00068627	0.000123987	5.535031526
Brahy.S01G0410000	0.003717218	0.009176012	0.405101681
Brahy.S01G0411500	0.003010363	0.00272009	1.106714736
Brahy.S01G0412400	0.005109299	0.002310151	2.211672868
Brahy.S01G0416600	0.013449114	0.0196429	0.684680682
Brahy.S01G0422200	0.000845084	0.002565159	0.329446951
Brahy.S01G0422400	0.003482791	0.004207363	0.827784742
Brahy.S01G0424100	0.008791752	0.00730475	1.203566454
Brahy.S01G0424200	0.001324527	0.00187032	0.708181738
Brahy.S01G0428100	0.001733989	0.00098953	1.752335784
Brahy.S01G0429300	0.000823008	0.004980187	0.1652565
Brahy.S01G0438300	0.000303032	0.000707974	0.428027543
Brahy.S01G0438600	0.000634069	0.001045105	0.606704009
Brahy.S01G0441100	0.001998546	0.001970967	1.013992568
Brahy.S01G0444200	0.008238745	0.008455257	0.974393296
Brahy.S01G0447800	0.002123662	0.005619715	0.377894854
Brahy.S02G0002000	0.001163919	0.003963012	0.293695441
Brahy.S02G0014100	0.000335289	0.001040286	0.322304803
Brahy.S02G0015000	0.001521455	0.003409253	0.446272338
Brahy.S02G0017600	0.002318645	0.002650163	0.874906588
Brahy.S02G0018300	0.000445986	0.002361497	0.48378792600000003
Brahy.S02G0021900	0.000820916	0.001072322	0.765549373
Brahy.S02G0024100	0.001640597	0.002074182	0.790960933
Brahy.S02G0024500	0.000797434	0.002468005	0.323108808
Brahy.S02G0026900	0.000210729	0.000378746	0.556385574
Brahy.S02G0027000	0.0016632844999999999	0.007342672	0.22657013199999998
Brahy.S02G0032700	0.00327942	0.0081060065	0.42096013649999997
Brahy.S02G0034600	0.001762824	0.0018334635	0.96146272
Brahy.S02G0039900	4.82e-05	0.001101928	0.043781359
Brahy.S02G0040500	0.0007497615	0.003775532	0.2212724935
Brahy.S02G0045000	0.000431517	0.001241758	0.347504888
Brahy.S02G0070800	0.001402982	0.001427992	0.982485714
Brahy.S02G0076900	0.009707509	0.006637281	1.462573023
Brahy.S02G0077800	0.001003376	0.003418961	0.293473869
Brahy.S02G0080400	0.0040411765	0.003532833	0.9924142360000001
Brahy.S02G0081200	5.63e-05	0.000179153	0.314510828
Brahy.S02G0091600	0.001032421	0.003037564	0.339884618
Brahy.S02G0094800	0.004083943499999999	0.007216322	0.567361064
Brahy.S02G0095600	0.000747107	0.001240998	0.602020593
Brahy.S02G0097600	0.001582151	0.00106285	1.488593177
Brahy.S02G0098500	0.000342623	0.000898723	0.381233524
Brahy.S02G0102800	0.00044916499999999996	0.0016040545	0.2938276265
Brahy.S02G0104200	0.001273155	0.000600471	2.120262874
Brahy.S02G0105100	0.000555842	0.001939239	0.286628832
Brahy.S02G0108400	0.0036239335	0.0008166045	4.58509979
Brahy.S02G0125100	0.0035688265	0.005309892	1.1091095795
Brahy.S02G0126200	0.000632377	0.000695337	0.909453258
Brahy.S02G0126700	0.000728842	0.005188793	0.140464634
Brahy.S02G0128900	0.000861268	0.002494077	0.345325355
Brahy.S02G0135400	0.001058417	0.004926418	0.21484512
Brahy.S02G0139500	0.000123049	0.00041809500000000006	0.285044014
Brahy.S02G0140000	0.001983997	0.001089191	1.821532812
Brahy.S02G0144100	2.7e-05	7.84e-05	0.344096219
Brahy.S02G0144400	0.000102645	0.001076979	0.09530852
Brahy.S02G0146300	0.000642062	0.00246244	0.260742034
Brahy.S02G0147700	0.008126437	0.002228713	3.646246728
Brahy.S02G0148100	0.022766533	0.015075168	1.510200898
Brahy.S02G0150400	0.001115835	0.0012327244999999999	1.026334508
Brahy.S02G0151100	0.006135289	0.007948993	0.771832226
Brahy.S02G0153000	0.001062538	0.002943152	0.3642680945
Brahy.S02G0155000	0.003180548	0.006005348	0.5442603835
Brahy.S02G0166400	0.006541461	0.003596943	1.818617025
Brahy.S02G0169300	0.000934808	0.001379368	0.67770773
Brahy.S02G0170300	0.002226015	0.003902016	0.570478098
Brahy.S02G0175600	0.001492411	0.002767891	0.539186945
Brahy.S02G0175700	0.000412584	0.000475983	0.866804195
Brahy.S02G0184400	0.00015854	0.000113328	1.398943965
Brahy.S02G0189900	0.00010595	0.003657533	0.028967606
Brahy.S02G0191400	0.0065993895	0.006452254500000001	1.099232149
Brahy.S02G0192700	0.005470559	0.004658268	1.174376167
Brahy.S02G0196400	0.0009217	0.00106972	0.861627342
Brahy.S02G0200700	0.0023945570000000003	0.00022893350000000002	10.8558451885
Brahy.S02G0204700	0.000284376	0.001913144	0.148643173
Brahy.S02G0205800	0.006140169	0.0036858159999999997	1.684247091
Brahy.S02G0213200	0.000410572	0.0008219165	0.473913014
Brahy.S02G0216600	0.000904145	0.002870029	0.315029933
Brahy.S02G0218200	0.007619737	0.005798576	1.314070473
Brahy.S02G0218600	0.002991845	0.0033827650000000003	0.9169870415
Brahy.S02G0220700	0.01459359	0.017785121	0.820550476
Brahy.S02G0233800	0.013211229000000001	0.007024312499999999	1.8815897965000001
Brahy.S02G0234200	0.000275815	0.000859613	0.32086002199999997
Brahy.S02G0237600	0.001471773	0.002386508	0.616931551
Brahy.S02G0241100	0.000991682	0.002655007	0.373513738
Brahy.S02G0246900	0.0047026425	0.011654926	0.364781002
Brahy.S02G0252900	0.002234901	0.002738341	0.8161517
Brahy.S02G0253800	0.0054406535	0.005220987	1.062435928
Brahy.S02G0254200	0.006131091	0.021702016999999997	0.2892568035
Brahy.S02G0258800	0.000245043	0.000320511	0.764539202
Brahy.S02G0269100	0.0002098065	0.0008083365	0.263534523
Brahy.S02G0270200	0.000328881	0.000367231	0.895569702
Brahy.S02G0278900	0.0015503140000000001	0.0026309239999999998	0.5921212425
Brahy.S02G0284300	0.005380918	0.005220387	1.030750793
Brahy.S02G0285500	0.002614047	0.002411358	1.084056193
Brahy.S02G0287300	0.002161966	0.0016197899999999999	1.4709462555
Brahy.S02G0290400	0.003191974	0.003780925	0.844231208
Brahy.S02G0292100	0.0013172095	0.0033898065	0.3905214425
Brahy.S02G0292300	0.000827463	0.001364447	0.606445191
Brahy.S02G0292800	0.011696462	0.012843157	0.910715538
Brahy.S02G0299000	0.0015387225	0.0021631405	0.735954871
Brahy.S02G0299500	0.022934594	0.023606947	0.971518822
Brahy.S02G0301700	0.0086938505	0.011971975499999999	0.731460939
Brahy.S02G0304800	0.0039112535	0.005402549499999999	0.727200501
Brahy.S02G0306400	0.0003626535	0.00041661849999999996	0.664802363
Brahy.S02G0310700	0.002974665	0.000955138	3.11438327
Brahy.S02G0322400	0.001427125	0.002748111	0.519311253
Brahy.S02G0330900	0.001458137	0.002401907	0.565245977
Brahy.S02G0335000	0.005188523	0.001473373	3.521527876
Brahy.S02G0341200	0.0011705465	0.001573006	0.8176897885000001
Brahy.S02G0344200	0.001867346	0.003512104	0.531688669
Brahy.S02G0345500	0.0030034535	0.0050441935	0.5720085305
Brahy.S02G0355800	0.000917131	0.005720123	0.160334098
Brahy.S02G0362500	0.001113652	0.002473301	0.49200850549999997
Brahy.S02G0371400	2.025e-05	0.000431792	0.157107687
Brahy.S02G0371800	0.000951394	0.000338379	2.811626103
Brahy.S02G0379500	0.0005189656666666667	0.002525865	0.33895711633333336
Brahy.S02G0381500	0.010328892	0.006771221500000001	1.5209716764999999
Brahy.S02G0383100	0.000882516	0.002366525	0.372916543
Brahy.S02G0386400	0.005519461	0.004404878	1.25303379
Brahy.S02G0387100	0.0060065645	0.0127521245	0.476904308
Brahy.S02G0393600	0.000100585	0.000291421	0.345152927
Brahy.S02G0398900	0.000632695	0.001912765	0.33077513
Brahy.S02G0400100	0.000474215	0.001322314	0.358624778
Brahy.S02G0400900	0.0018404565	0.001884158	0.9877811835
Brahy.S02G0403300	0.003565159	0.008747471	0.407564589
Brahy.S02G0407100	0.0007938925	0.0015394345	0.409706892
Brahy.S02G0413800	0.005736373	0.005987468	0.958063169
Brahy.S02G0417900	0.000832654	0.000430056	1.936150381
Brahy.S02G0418400	0.000151753	0.000430781	0.352273762
Brahy.S02G0420300	0.00110742	0.001052816	1.051864808
Brahy.S02G0421000	0.000233434	0.000377032	0.619135989
Brahy.S02G0424200	0.002650924	0.005827213	0.454921384
Brahy.S03G0005600	0.002651447333333333	0.007161824333333334	0.376628585
Brahy.S03G0012000	0.000952094	0.001063518	0.895231258
Brahy.S03G0015900	0.000225569	0.0007970096666666667	0.28306307366666666
Brahy.S03G0017200	0.00116599	0.001810374	0.644060616
Brahy.S03G0017900	0.0006662183333333334	0.006971511333333333	0.10543439566666668
Brahy.S03G0028000	0.002905808	0.002448511	1.186765435
Brahy.S03G0029200	0.003549408	0.004251732	0.834814648
Brahy.S03G0032000	0.000118401	0.000916946	0.129125546
Brahy.S03G0037400	0.000631718	0.000884261	0.714402228
Brahy.S03G0038300	0.000420721	0.006367664	0.066071534
Brahy.S03G0047200	0.002269271	0.003995886	0.567901779
Brahy.S03G0049100	0.000430606	0.0009009235	0.45754651150000003
Brahy.S03G0053500	0.001659374	0.004467999	0.371390764
Brahy.S03G0067000	0.0025901473333333333	0.0015081836666666667	3.2024657013333333
Brahy.S03G0071200	0.000641065	0.005290191	0.121179923
Brahy.S03G0074600	0.000602818	0.0007718396666666666	0.7703149536666666
Brahy.S03G0091900	0.0005340306666666666	0.000738196	1.2724885136666668
Brahy.S03G0106700	0.003703785	0.007005288	0.528712765
Brahy.S03G0107800	0.000141254	0.000470393	0.300290538
Brahy.S03G0108000	0.002363001	0.001453087	1.626193706
Brahy.S03G0118300	0.006973908	0.006717734	1.038133967
Brahy.S03G0122100	0.000969981	0.001542897	0.628674708
Brahy.S03G0122200	0.000668208	0.001791464	0.372995532
Brahy.S03G0124100	8.47e-05	0.000135684	0.623981635
Brahy.S03G0144400	0.001131528	0.003590168	0.315174064
Brahy.S03G0146500	0.001648021	0.008177307	0.201535929
Brahy.S03G0156800	0.00670541	0.005397515	1.242314251
Brahy.S03G0158800	0.0014019417500000001	0.00247439125	0.5897520789999999
Brahy.S03G0166000	0.001359916	0.002613659	0.52031115
Brahy.S03G0170900	0.002145576	0.002989723	0.717650536
Brahy.S03G0171500	0.000350584	0.000902372	0.388513693
Brahy.S03G0178900	0.000161476	0.000654143	0.246851041
Brahy.S03G0180200	0.000918289	0.001795064	0.511563643
Brahy.S03G0182600	0.001631863	0.001397149	1.167994914
Brahy.S03G0189500	0.000932164	0.0013633999999999999	0.72854542175
Brahy.S03G0204900	0.00071486	0.00120343	0.594018488
Brahy.S03G0206500	0.000387652	0.000959298	0.404099311
Brahy.S03G0217100	0.000223924	0.001089273	0.205571904
Brahy.S03G0217500	0.0007767795	0.0003250505	2.4385762035000003
Brahy.S03G0219000	0.000211975	0.000494616	0.428564698
Brahy.S03G0223800	0.000680022	0.001070776	0.63507386
Brahy.S03G0226200	0.0004681405	0.0013471870000000001	0.38784464750000003
Brahy.S03G0226400	0.0007357542	0.0014534462	0.5144329304
Brahy.S03G0232000	0.001174168	0.002973517	0.394875245
Brahy.S03G0232300	0.002351126	0.002161709333333333	1.307920799
Brahy.S03G0232900	0.000157219	0.00050861	0.309115879
Brahy.S03G0233900	0.000413534	0.001236414	0.334462336
Brahy.S03G0248600	0.000509078	0.0006777075	0.77500456
Brahy.S03G0250500	0.000589075	0.004703131	0.125251766
Brahy.S03G0253800	0.0014124171999999999	0.0016559832	0.8632481204
Brahy.S03G0262700	0.005536743	0.004426958	1.250687973
Brahy.S03G0263200	0.000604494	0.003110079	0.194365992
Brahy.S03G0263500	0.006908657	0.007504922	0.920550164
Brahy.S03G0266300	0.000562809	0.000660692	0.85184759
Brahy.S03G0267500	0.002555618	0.0039748242	0.6095340502
Brahy.S03G0268200	0.015919836	0.023100744	0.689148179
Brahy.S03G0269500	0.0028872642	0.00533109	0.4739359824
Brahy.S03G0272300	0.0004240033333333334	0.0014453619999999997	0.2737702063333333
Brahy.S03G0279200	0.00343358275	0.00103781275	3.3904992465
Brahy.S03G0280800	0.00472943475	0.00597084075	0.789204513
Brahy.S03G0288300	0.0007811425	0.0024259109999999998	0.33104106575000003
Brahy.S03G0289900	0.0001428405	0.0007656792500000001	0.23761903525
Brahy.S03G0290400	0.000507095	0.000244556	2.073538923
Brahy.S03G0291900	0.0022676536666666664	0.0037185703333333336	0.6113296763333333
Brahy.S03G0298000	0.004900368	0.004487163	1.081100802
Brahy.S03G0304000	0.002226706	0.001113674	1.999423066
Brahy.S03G0306200	0.0019135746666666667	0.0026235913333333334	0.7536319656666667
Brahy.S03G0307400	0.0033515717500000003	0.00447092675	0.64631801975
Brahy.S03G0308200	0.009296059333333334	0.01598324333333333	0.5762888503333333
Brahy.S03G0308300	0.0055497515	0.01072040725	0.53273426025
Brahy.S03G0313600	0.000522972	0.0016786935	0.31258817650000004
Brahy.S03G0314200	0.001518721	0.0018089073333333334	0.8209766526666668
Brahy.S03G0314800	0.00322485	0.0038505082499999998	0.8674113785
Brahy.S03G0318100	0.000301382	0.000730427	0.412610958
Brahy.S03G0319300	0.003718259	0.004079719	0.91140075
Brahy.S03G0323800	7.87e-05	0.000281775	0.279395267
Brahy.S03G0325200	0.002017729	0.001935915	1.042261153
Brahy.S03G0330400	0.000796446	0.001401202	0.568402225
Brahy.S04G0006600	0.0005376012499999999	0.000857277	0.6344127225
Brahy.S04G0009000	4.02e-05	0.0001689	0.238008454
Brahy.S04G0011800	0.000438966	0.0011740973333333334	0.5166503933333334
Brahy.S04G0012100	0.00175232325	0.0026256985	0.9672501272499999
Brahy.S04G0012700	0.011133628	0.010828255	1.028201447
Brahy.S04G0013200	0.004954669333333334	0.007386064666666667	0.6800054683333334
Brahy.S04G0014700	0.0007410755000000001	0.001280949	0.56822562
Brahy.S04G0015000	0.000270954	0.00045013	0.601945163
Brahy.S04G0021800	0.0031902865000000002	0.00457224675	0.72116756125
Brahy.S04G0021900	0.0009963062	0.0014342218000000001	0.7525796326
Brahy.S04G0023000	0.002640881	0.002434394	1.08482055
Brahy.S04G0023200	0.006576576000000001	0.007048261333333333	1.10018384
Brahy.S04G0023500	0.0024265895	0.00374890575	0.78135457275
Brahy.S04G0025300	0.000852319	0.00073896775	1.26159703675
Brahy.S04G0028200	0.00202367	0.0030996256666666667	0.712470351
Brahy.S04G0035100	9.55e-05	0.000246427	0.387577402
Brahy.S04G0035900	0.00011115575	0.000260115	0.42802459525000003
Brahy.S04G0036000	0.002656035	0.00501477475	0.6289230325
Brahy.S04G0036100	0.000804248	0.00191309	0.420392241
Brahy.S04G0040100	0.002199082	0.002302671	0.955013277
Brahy.S04G0040200	0.00050347	0.002072669	0.2630863625
Brahy.S04G0047300	0.000908833	0.000655259	1.386982004
Brahy.S04G0049000	0.00288310525	0.006299669	0.439123376
Brahy.S04G0060800	0.000882786	0.005274847	0.16735758
Brahy.S04G0069600	0.0042484	0.004665627666666667	0.9816354506666668
Brahy.S04G0073200	0.002245665	0.007025646666666667	0.35309432299999993
Brahy.S04G0076400	0.000531249	0.000616348	0.861930054
Brahy.S04G0082000	0.0055863505	0.00604503275	0.9307878762499999
Brahy.S04G0082100	0.003242193	0.001846659	1.6554508095
Brahy.S04G0083100	1.5e-05	4.33e-05	0.34717877
Brahy.S04G0084700	0.00022184699999999998	0.00034365733333333335	0.6306503713333333
Brahy.S04G0085800	0.000631076	0.001018633	0.619532415
Brahy.S04G0090800	0.0017093763333333335	0.0013895643333333334	1.5072501010000001
Brahy.S04G0094000	3.0400000000000105e-05	3.365000000000022e-05	0.683065335
Brahy.S04G0094200	0.0007523973333333333	0.000370497	1.969631025
Brahy.S04G0098600	0.00069885125	0.0007279165	0.84849143725
Brahy.S04G0098700	0.00044116366666666665	0.0013843006666666667	0.37946397466666665
Brahy.S04G0100000	0.0055483395	0.008664080000000001	0.5990134205
Brahy.S04G0102300	0.0017547406666666668	0.005323056333333333	0.36530808733333336
Brahy.S04G0113700	0.004508433	0.0055627490000000005	0.83225661625
Brahy.S04G0116600	5.53e-05	0.000221955	0.249234624
Brahy.S04G0121200	0.0038368893333333327	0.0029544519999999998	1.3874414946666667
Brahy.S04G0124600	0.000365447	0.001158816	0.31536276
Brahy.S04G0139700	7.9516e-05	0.00019158450000000002	0.40144369950000003
Brahy.S04G0144200	5.31e-05	0.000186855	0.284146559
Brahy.S04G0144500	0.001697858	0.00206312375	0.8565348325
