species	product	piN	piS	pin/pis	atid	group
Bs	Brast03G188300	0.000947281	0.002648738	0.437821227	AT3G07040	Plant-pathogen interaction
Bs	Brast03G202400	0.000835295	0.008838381	0.094507657	AT4G17615	stomatal related
Bs	Brast03G208300	0.000997439	0.000605745	1.646631342	AT1G32640	stomatal related
Bs	Brast03G210400	0.011255585	0.003714623	3.030075084	AT1G32250	Plant-pathogen interaction
Bs	Brast03G214100	0.001206636	0.002455066	0.491488312	AT3G07040	Plant-pathogen interaction
Bs	Brast03G244600	9.07E-05	0.000215792	0.420286994	AT1G71010	stomatal related
Bs	Brast03G246500	0.000574639	0.001761649	0.32619357	AT1G19230	Plant-pathogen interaction
Bs	Brast03G255600	0.002142921	0.004793044	0.447089752	AT4G14480	stomatal related
Bs	Brast03G266800	0.002507561	0.002679723	0.935753814	AT5G56270	Plant-pathogen interaction
Bs	Brast03G269400	0.00132574	0.001437358	0.922344695	AT5G56000	Plant-pathogen interaction
Bs	Brast03G293900	5.85E-05	0.000223648	0.26170878	AT3G07040	Plant-pathogen interaction
Bs	Brast04G005100	0.001118362	0.005472288	0.155161169	AT3G07040	Plant-pathogen interaction
Bs	Brast04G039400	0.001369488	0.000976554	1.402368581	AT2G26330	stomatal related
Bs	Brast04G041800	0.001281721	0.004227529	0.303184503	AT3G57230	stomatal related
Bs	Brast04G042200	0.000360876	0.000426727	2.065015398	AT3G07040	Plant-pathogen interaction
Bs	Brast04G101500	0.001552186	0.000760503	2.040999548	AT2G17290	Plant-pathogen interaction
Bs	Brast04G111800	0.001569703	0.002058173	0.764353963	AT1G04110	stomatal related
Bs	Brast04G148000	0.001066955	0.000726614	1.468393856	AT2G28260	Plant-pathogen interaction
Bs	Brast04G150200	0.000406178	0.001437597	0.282539824	AT4G20360	Plant-pathogen interaction
Bs	Brast04G189900	0.003104425	0.002107615	1.472956494	AT5G13160	Plant-pathogen interaction
Bs	Brast04G232700	0.00036465	0.000943237	0.386594451	AT5G53130	Plant-pathogen interaction
Bs	Brast04G250900	0.003556786	0.006058071	0.587115243	AT1G08750	stomatal related
Bs	Brast04G255200	0.000104823	0.000326545	0.321005724	AT1G15520	stomatal related
Bs	Brast04G284500	0.00111297	0.001028789	1.081825949	AT5G44790	stomatal related
Bs	Brast04G326500	8.73E-05	0.000132446	1.698752008	AT4G35790	stomatal related
Bs	Brast04G327100	0.014645915	0.024843561	0.453250374	AT5G20480	Plant-pathogen interaction
Bs	Brast05G006100	0.000445791	0.001389552	0.320816337	AT5G12180	Plant-pathogen interaction
Bs	Brast05G006400	0.001702726	0.00987047	0.172507111	AT5G13750	stomatal related
Bs	Brast05G010600	0.001439475	0.002402703	2.285983953	AT2G38620	stomatal related
Bs	Brast05G019500	0.000307363	0.000217453	1.034210906	AT3G07040	Plant-pathogen interaction
Bs	Brast05G025400	0.000235716	0.000772639	0.305078506	AT3G07040	Plant-pathogen interaction
Bs	Brast05G031700	0.001325351	0.000322035	4.115549856	AT3G07040	Plant-pathogen interaction
Bs	Brast05G043300	0.00053143	0.001505583	0.352972954	AT1G68530	Plant-pathogen interaction
Bs	Brast05G053800	0.001997872	0.001343299	1.487287254	AT3G07040	Plant-pathogen interaction
Bs	Brast05G054300	0.00012029	0.002136791	0.056294777	AT3G07040	Plant-pathogen interaction
Bs	Brast05G054600	4.07E-05	0.000152497	0.266608392	AT3G07040	Plant-pathogen interaction
Bs	Brast05G101200	0.000224348	0.000340388	1.855586051	AT1G15520	stomatal related
Bs	Brast05G104900	0.001068045	0.000833791	1.280951366	AT1G51850	stomatal related
Bs	Brast05G117300	0.000547489	0.0021008	0.259843389	AT3G48090	Plant-pathogen interaction
Bs	Brast05G135600	0.000340524	0.000499778	0.681350023	AT1G19230	Plant-pathogen interaction
Bs	Brast05G147300	0.008578554	0.006399281	1.340549547	AT5G12180	Plant-pathogen interaction
Bs	Brast05G155600	0.006584517	0.018624653	0.353537701	AT2G04030	Plant-pathogen interaction
Bs	Brast05G160800	0.003031316	0.001024803	2.957950689	AT5G56270	Plant-pathogen interaction
Bs	Brast05G172400	9.98E-05	0.000612233	0.162944084	AT3G07320	stomatal related
Bs	Brast05G180100	0.000271194	0.001161412	0.233503998	AT3G59350	Plant-pathogen interaction
Bs	Brast05G180600	0.000822816	0.001373923	0.598880752	AT3G57530	Plant-pathogen interaction
Bs	Brast05G182900	0.000141529	0.000437265	0.32366815	AT3G07040	Plant-pathogen interaction
Bs	Brast05G184100	0.000428494	0.000962731	0.445082461	AT1G32640	stomatal related
Bs	Brast05G200100	0.000492128	0.001991874	0.247067644	AT4G35790	stomatal related
Bs	Brast05G226100	0.001096432	0.002702807	0.405664096	AT5G43410	stomatal related
Bs	Brast05G230700	0.000138075	0.000891438	0.159041333	AT3G07040	Plant-pathogen interaction
Bs	Brast05G237900	0.001652677	0.001680689	0.983332454	AT5G12480	Plant-pathogen interaction
Bs	Brast05G277600	0.002860398	0.002576166	1.110331486	AT3G10190	Plant-pathogen interaction
Bs	Brast05G281800	0.003617825	0.003056977	1.183464842	AT5G12180	Plant-pathogen interaction
Bs	Brast05G283400	0.004398784	0.008045237	0.546756348	AT5G13750	stomatal related
Bs	Brast05G290100	0.001598829	0.001311613	1.218979136	AT3G54180	stomatal related
Bs	Brast05G291200	0.000725259	0.00537157	0.139445044	AT3G56400	stomatal related
Bs	Brast05G297900	0.001191404	0.002725688	0.436811278	AT3G11130	stomatal related
Bs	Brast06G009300	0.000323308	0.000488243	0.662187188	AT2G39050	stomatal related
Bs	Brast06G018900	0.000179387	1.75E-05	10.25797397	AT3G05030	stomatal related
Bs	Brast06G025600	0.002941648	0.000906549	3.244884085	AT3G56960	stomatal related
Bs	Brast06G043900	0.005338879	0.013821131	0.386283769	AT2G02820	stomatal related
Bs	Brast06G044600	0.00019041	0.000471424	0.812986355	AT5G06970	stomatal related
Bs	Brast06G065300	0.010193646	0.017676524	0.579270319	AT3G07040	Plant-pathogen interaction
Bs	Brast06G087000	0.000328951	3.25E-05	10.1357799	AT5G19450	Plant-pathogen interaction
Bs	Brast06G159100	0.000748164	0.005518913	0.138354486	AT4G35790	stomatal related
Bs	Brast06G198000	0.000172437	0.000368736	0.467645401	AT3G07040	Plant-pathogen interaction
Bs	Brast06G198200	0.003697067	0.003252569	1.050386214	AT1G25450	Plant-pathogen interaction
Bs	Brast06G198400	0.004473543	0.005005118	0.893793737	AT4G14770	stomatal related
Bs	Brast06G227200	0.005955711	0.006231415	0.955755801	AT4G20940	stomatal related
Bs	Brast06G228600	0.000312143	0.00181497	0.171982604	AT1G30270	stomatal related
Bs	Brast06G233800	0.001516012	0.000720074	2.105354825	AT5G11270	stomatal related
Bs	Brast07G022500	0.001843676	0.002430092	0.758685662	AT3G07040	Plant-pathogen interaction
Bs	Brast07G027800	0.002257649	0.002527507	0.893231398	AT5G07180	stomatal related
Bs	Brast07G037400	0.002087741	0.003955267	0.527838208	AT2G43790	Plant-pathogen interaction
Bs	Brast07G041700	0.000369603	0.001869143	0.197739451	AT3G07040	Plant-pathogen interaction
Bs	Brast07G049300	0.0007471	0.00281245	0.265640404	AT4G03290	Plant-pathogen interaction
Bs	Brast07G061000	0.000250756	8.17E-05	2.7469054	AT4G30360	Plant-pathogen interaction
Bs	Brast07G067300	0.000764817	0.003231424	0.236681031	AT2G26330	stomatal related
Bs	Brast07G069400	0.000490898	0.00092006	0.507996171	AT3G17700	Plant-pathogen interaction
Bs	Brast07G086000	0.008106252	0.011960613	0.749222662	AT1G68530	Plant-pathogen interaction
Bs	Brast07G095800	6.05E-05	0.000322781	0.187563515	AT1G68530	Plant-pathogen interaction
Bs	Brast07G153000	0.000680995	0.000560272	1.215472082	AT1G69850	stomatal related
Bs	Brast07G160300	0.00086853	0.001174316	0.739605489	AT5G11270	stomatal related
Bs	Brast07G162600	0.000874215	0.002058115	0.424764993	AT3G15730	stomatal related
Bs	Brast07G173800	0.001111255	0.00358728	0.309776497	AT1G15520	stomatal related
Bs	Brast07G215300	0.000593409	0.000666205	0.890729557	AT5G44790	stomatal related
Bs	Brast07G224400	0.000193966	0.000901388	0.21518563	AT5G10720	stomatal related
Bs	Brast08G013300	0.011162463	0.006171162	1.808810624	AT1G18530	Plant-pathogen interaction
Bs	Brast08G015000	0.000263073	0.000602813	0.436408788	AT2G26640	Plant-pathogen interaction
Bs	Brast08G018900	0.004667712	0.005387306	0.866427859	AT1G19440	Plant-pathogen interaction
Bs	Brast08G035000	0.000295862	0.000513404	0.576274764	AT1G67040	stomatal related
Bs	Brast08G053900	0.001181434	0.000532761	2.217568632	AT1G51850	stomatal related
Bs	Brast08G073300	0.002780192	0.002900216	0.958615483	AT5G12180	Plant-pathogen interaction
Bs	Brast08G087100	4.44E-05	7.00E-05	0.634169445	AT2G38470	Plant-pathogen interaction
Bs	Brast08G090600	0.000328979	0.001227029	0.268110497	AT3G51850	Plant-pathogen interaction
Bs	Brast08G142100	7.12E-05	9.41E-05	0.75614357	AT1G08860	stomatal related
Bs	Brast08G165000	0.001646335	0.002726059	0.603924975	AT3G51550	stomatal related
Bs	Brast08G184400	0.006311107	0.011897087	0.530474985	AT1G04110	stomatal related
Bs	Brast08G197200	0.00051981	0.003565966	0.145769748	AT5G05620	stomatal related
Bs	Brast08G199000	0.00129628	0.000940979	1.386187194	AT1G66340	stomatal related
Bs	Brast08G207200	0.000520241	0.006892771	0.075476319	AT3G05030	stomatal related
Bs	Brast08G214600	0.003457319	0.004516014	0.915982682	AT1G09540	stomatal related
Bs	Brast08G219100	0.005473652	0.008446787	0.648015911	AT2G47060	Plant-pathogen interaction
Bs	Brast08G233400	0.001087395	0.001433561	0.758527035	AT1G48210	Plant-pathogen interaction
Bs	Brast08G244600	0.000375921	0.000431079	2.754820776	AT3G07040	Plant-pathogen interaction
Bs	Brast08G245900	0.000863178	0.001437064	0.600654077	AT3G07040	Plant-pathogen interaction
Bs	Brast09G021900	0.00081775	0.001259357	0.649339355	AT4G26090	Plant-pathogen interaction
Bs	Brast09G028900	0.000468104	0.000211329	2.215055227	AT3G07040	Plant-pathogen interaction
Bs	Brast09G033000	0.000719374	0.002991703	0.240456243	AT2G47800	stomatal related
Bs	Brast09G035700	0.000346745	0.000515829	0.672208548	AT3G07040	Plant-pathogen interaction
Bs	Brast09G038100	0.002160244	0.003095928	0.697769423	AT4G12290	stomatal related
Bs	Brast09G048300	0.000120277	0.000376145	0.319763055	AT5G58140	stomatal related
Bs	Brast09G069500	0.003248522	0.004705127	0.690421773	AT4G26090	Plant-pathogen interaction
Bs	Brast09G082700	1.53E-05	3.86E-05	0.396960459	AT4G26090	Plant-pathogen interaction
Bs	Brast09G083000	0.016159832	0.016593876	0.973843089	AT4G26090	Plant-pathogen interaction
Bs	Brast09G102900	0.002365346	0.00246822	0.958320595	AT3G07320	stomatal related
Bs	Brast09G106900	0.003998708	0.003155098	1.267380058	AT3G57230	stomatal related
Bs	Brast09G126300	0.002208823	0.001438702	1.535289556	AT3G59350	Plant-pathogen interaction
Bs	Brast09G127700	0.001799914	0.002642954	0.681023504	AT2G43290	Plant-pathogen interaction
Bs	Brast09G142200	0.000368977	0.002437188	0.113298705	AT4G26090	Plant-pathogen interaction
Bs	Brast09G142300	0.000842523	0.000240021	3.51020216	AT4G26090	Plant-pathogen interaction
Bs	Brast09G169300	0.000864147	0.005035898	0.17180189	AT1G04110	stomatal related
Bs	Brast09G169500	0.000112044	0.000494344	0.226651048	AT1G04110	stomatal related
Bs	Brast09G170000	0.000326145	0.00017282	1.887199288	AT1G63700	stomatal related
Bs	Brast09G170600	0.009989683	0.006678779	1.495734931	AT1G76040	Plant-pathogen interaction
Bs	Brast09G178800	0.016809855	0.024495461	0.686243643	AT1G12480	stomatal related
Bs	Brast09G179200	9.60E-05	8.56E-05	1.121712694	AT4G36180	stomatal related
Bs	Brast09G184000	0.001779833	0.002472696	0.688303055	AT4G35310	Plant-pathogen interaction
Bs	Brast09G226600	0.003579185	0.003740648	0.956835394	AT1G34245	stomatal related
Bs	Brast09G230900	0.000851626	0.000364299	2.337710911	AT5G57940	Plant-pathogen interaction
Bs	Brast09G233600	0.002842282	0.004002622	0.710105086	AT1G80460	Plant-pathogen interaction
Bs	Brast09G235500	0.002257	0.004810897	0.396269491	AT1G47128	stomatal related
Bs	Brast10G000400	0.003602252	0.012851991	0.280287465	AT1G66340	stomatal related
Bs	Brast10G005000	0.001448772	0.001708858	0.847801615	AT3G07040	Plant-pathogen interaction
Bs	Brast10G010000	0.002429391	0.002565596	0.953369179	AT3G07040	Plant-pathogen interaction
Bs	Brast10G022700	1.32E-05	7.80E-05	0.169664638	AT4G14770	stomatal related
Bs	Brast10G023700	0.003157286	0.00548636	0.575479117	AT3G22930	Plant-pathogen interaction
Bs	Brast10G024600	0.002714803	0.008668546	0.313178615	AT3G07040	Plant-pathogen interaction
Bs	Brast10G030300	0.005140519	0.009545178	0.325472953	AT3G07040	Plant-pathogen interaction
Bs	Brast10G038800	4.45E-05	0.000786623	0.056569013	AT1G68530	Plant-pathogen interaction
Bs	Brast10G038900	0.000649503	0.0004862	1.393973129	AT1G68530	Plant-pathogen interaction
Bs	Brast10G042300	0.000557472	0.000927052	0.964644546	AT5G02500	stomatal related
Bs	Brast10G071000	0.000822399	0.0004151	1.259745663	AT3G07770	Plant-pathogen interaction
Bs	Brast10G073800	0.001346544	0.000775844	1.735585992	AT3G07040	Plant-pathogen interaction
Bs	Brast10G078000	0.001873138	0.001349068	1.388468242	AT3G07040	Plant-pathogen interaction
Bs	Brast10G095200	0.000685704	0.0011257	0.609135622	AT5G20480	Plant-pathogen interaction
Bs	Brast10G098400	0.000665613	0.001056193	0.630199939	AT5G03280	stomatal related
Bs	Brast10G099400	0.001416974	0.002613926	0.521576121	AT2G15430	stomatal related
Bs	Brast10G110600	0.000766915	0.005805183	0.226246384	AT3G26744	stomatal related
Bs	Brast10G122200	0.000613343	0.000442792	1.382716393	AT5G47910	Plant-pathogen interaction
Bs	Brast10G128400	0.000194845	0.000502553	0.38771115	AT5G46330	Plant-pathogen interaction
Bs	Brast10G149800	0.001625392	0.002006724	0.809973	AT3G07040	Plant-pathogen interaction
Bs	Brast10G155200	0.001012596	0.000451274	1.663849122	AT3G07040	Plant-pathogen interaction
Bs	Brast10G155400	0.000528167	0.000633831	0.595153931	AT3G07040	Plant-pathogen interaction
Bs	Brast10G165800	0.00010944	0.001085678	0.100803282	AT3G07040	Plant-pathogen interaction
Bs	Brast10G169300	0.001490562	0.001680243	0.887110835	AT3G07040	Plant-pathogen interaction
Bs	Brast10G171800	0.003482914	0.004569949	1.248614552	AT1G04110	stomatal related
Bs	Brast10G179000	0.000169833	0.000894509	0.189861521	AT5G46330	Plant-pathogen interaction
Bs	Brast10G188300	0.001312623	0.001119121	1.193681644	AT3G07040	Plant-pathogen interaction
Bs	Brast10G191800	0.004984768	0.009965084	0.500223329	AT3G07040	Plant-pathogen interaction
Bs	Brast10G194900	0.002033534	0.002645317	0.738413205	AT3G07040	Plant-pathogen interaction
Bs	Brast10G195000	0.000335333	0.001185035	0.282973104	AT3G07040	Plant-pathogen interaction
Bs	Brast10G195600	0.000309522	0.000354887	0.879659414	AT3G46060	stomatal related
Bs	Brast10G197200	0.002585559	0.007827906	0.301711456	AT3G07040	Plant-pathogen interaction
Bs	Brast10G197300	0.005153418	0.014076733	0.366094772	AT3G07040	Plant-pathogen interaction
