bsid	atid
Brast03G306700	AT5G04750
Brast03G005200	AT2G35060
Brast03G289100	AT5G50670
Brast03G262700	AT1G73880
Brast03G002100	AT1G21250
Brast03G213300	AT5G05010
Brast03G151200	AT3G17380
Brast03G043700	AT5G40780
Brast03G098100	AT5G38060
Brast03G261600	AT3G30530
Brast03G013700	AT1G55750
Brast03G058200	AT3G24650
Brast03G179900	AT1G10370
Brast03G302100	AT2G17080
Brast03G020600	AT1G80490
Brast03G211600	AT1G16830
Brast03G129500	AT3G22830
Brast03G237200	AT3G04060
Brast03G089600	AT3G22720
Brast03G067000	AT2G24762
Brast03G236600	AT1G68810
Brast03G264400	AT2G04240
Brast03G194500	AT1G12200
Brast03G074100	AT1G15980
Brast03G251900	AT1G57620
Brast03G257300	AT2G36690
Brast03G257400	AT2G36690
Brast03G206400	AT2G38710
Brast03G209000	AT1G32200
Brast03G170900	AT2G21350
Brast03G218100	AT5G47530
Brast03G291900	AT3G26890
Brast03G016200	AT4G00170
Brast03G020900	AT3G58030
Brast03G032700	AT5G39110
Brast03G033400	AT2G02230
Brast03G304700	AT3G48330
Brast03G119300	AT1G31817
Brast03G260500	AT5G10310
Brast03G137000	AT3G04550
Brast03G041800	AT4G20380
Brast03G102500	AT5G63110
Brast03G181700	AT3G52525
Brast03G121100	AT5G03760
Brast03G193800	AT4G22590
Brast03G150300	ATCG01250
Brast03G003900	AT4G37970
Brast03G124000	AT5G17690
Brast03G291400	AT5G50810
Brast03G102800	AT4G26480
Brast03G206700	AT5G46800
Brast03G176800	AT2G36290
Brast03G001400	AT4G31140
Brast03G242600	AT4G14342
Brast03G002000	AT2G07050
Brast03G181100	AT1G10370
Brast03G037000	AT4G05020
Brast03G231900	AT1G68090
Brast03G206200	AT2G33620
Brast03G120900	AT3G12010
Brast03G275700	AT4G29090
Brast03G079100	AT2G11890
Brast03G244800	ATMG00310
Brast03G274800	AT2G42200
Brast03G019300	AT2G35270
Brast03G073400	AT5G57920
Brast03G148000	AT4G13690
Brast03G215400	AT4G35785
Brast03G057000	AT3G44330
Brast03G305800	AT4G33790
Brast03G023300	AT5G50140
Brast03G048300	AT5G24740
Brast03G176900	AT2G36290
Brast03G025800	AT3G58730
Brast03G112300	AT3G50360
Brast03G029900	AT1G12470
Brast03G049200	AT4G00830
Brast03G104100	AT2G45560
Brast03G290000	AT3G01930
Brast03G130200	AT4G14750
Brast03G247400	AT5G20635
Brast03G201500	AT5G19910
Brast03G062000	AT3G48700
Brast03G268600	AT2G44220
Brast03G094400	AT5G41220
Brast03G053100	AT5G63640
Brast03G173400	AT1G33250
Brast03G050400	AT4G24270
Brast03G166300	AT3G48890
Brast03G041600	AT3G51280
Brast03G239700	AT4G30950
Brast03G238000	AT3G47470
Brast03G224200	AT1G78070
Brast03G125200	AT2G04230
Brast03G023700	AT2G47910
Brast03G145800	AT5G46050
Brast03G115300	AT3G58610
Brast03G271200	AT5G48090
Brast03G312800	AT3G24160
Brast03G259500	AT1G22410
Brast03G217600	AT3G26300
Brast03G244000	AT4G25770
Brast03G289900	AT1G27310
Brast03G023600	AT3G02645
Brast03G227100	AT1G67180
Brast03G059700	AT2G34930
Brast03G028400	AT5G24220
Brast03G307300	AT5G41880
Brast03G035500	AT3G14470
Brast03G210200	AT1G32310
Brast03G070500	AT1G79720
Brast03G267700	AT3G13340
Brast03G216400	AT5G23090
Brast03G231500	AT2G32990
Brast03G307500	AT5G15520
Brast03G304100	AT5G57880
Brast03G310400	AT2G31230
Brast03G029800	AT2G03870
Brast03G046500	AT3G01820
Brast03G190300	AT2G27900
Brast03G292100	AT2G33500
Brast03G166200	AT5G52240
Brast03G034500	AT2G47420
Brast03G084000	AT5G47790
Brast03G259300	AT2G22400
Brast03G291200	AT3G26935
Brast03G290900	AT5G14790
Brast03G212500	AT2G34830
Brast03G044800	AT3G50150
Brast03G283100	AT2G46960
Brast03G055000	AT1G60950
Brast03G295400	AT1G08760
Brast03G075200	AT2G39725
Brast03G079200	AT2G11810
Brast03G064700	AT4G30210
Brast03G231600	AT3G48870
Brast03G024100	AT3G14460
Brast03G101200	AT3G07890
Brast03G285900	AT3G25070
Brast03G029000	AT4G11140
Brast03G250500	AT5G22110
Brast03G165800	AT1G10360
Brast03G057600	AT2G33840
Brast03G016000	AT5G25930
Brast03G021700	AT1G31830
Brast03G305400	AT3G44600
Brast03G018100	AT1G01060
Brast03G199800	AT3G60320
Brast03G019100	AT1G32400
Brast03G037200	AT2G20340
Brast03G251800	AT3G54630
Brast03G075700	AT4G40040
Brast03G210400	AT1G32250
Brast03G061600	AT5G57550
Brast03G166500	AT3G61230
Brast03G247600	AT5G20680
Brast03G022300	AT3G63480
Brast03G137300	AT4G11400
Brast03G266700	AT1G80150
Brast03G144100	AT1G04500
Brast03G003100	AT4G39490
Brast03G000400	AT4G30060
Brast03G229100	AT2G45560
Brast03G047800	AT4G00100
Brast03G253500	AT4G10130
Brast03G253000	AT2G03550
Brast03G103000	AT5G48300
Brast03G047400	AT2G13620
Brast03G290700	AT1G69040
Brast03G104700	AT4G12230
Brast03G038600	AT2G32280
Brast03G028000	AT1G03940
Brast03G048200	AT1G32930
Brast03G184200	AT2G02180
Brast03G214000	AT3G63520
Brast03G312700	AT4G14305
Brast03G002400	AT1G79350
Brast03G034900	AT1G11840
Brast03G015500	AT5G25930
Brast03G284400	AT3G25290
Brast03G145100	AT4G08850
Brast03G268300	AT5G56280
Brast03G286600	AT1G04860
Brast03G091400	AT5G17210
Brast03G113700	AT1G45110
Brast03G042200	AT1G09620
Brast03G165100	AT2G20710
Brast03G281100	AT3G06190
Brast03G185600	AT5G23210
Brast03G000500	AT1G78895
Brast03G269600	AT5G18460
Brast03G138700	AT2G30105
Brast03G001000	AT2G32730
Brast03G303500	AT2G17070
Brast03G266300	AT1G56170
Brast03G066700	AT2G24765
Brast03G220300	AT4G09600
Brast03G259700	AT2G30710
Brast03G113100	AT4G20330
Brast03G310100	AT1G04360
Brast03G139300	AT2G18510
Brast03G007100	AT5G46190
Brast03G070300	AT5G41760
Brast03G306200	AT5G03880
Brast03G156500	AT5G23290
Brast03G065200	AT2G18860
Brast03G058300	AT5G23150
Brast03G266400	AT5G56120
Brast03G021300	AT5G17170
Brast03G304900	AT3G27240
Brast03G282200	AT2G27100
Brast03G073000	AT1G16000
Brast03G002300	AT4G28400
Brast03G016100	AT1G63780
Brast03G208800	AT2G35500
Brast03G056400	AT3G26420
Brast03G098700	AT1G66890
Brast03G020300	AT3G47160
Brast03G199000	AT4G16790
Brast03G139900	AT2G20370
Brast03G045600	AT4G24790
Brast03G215600	AT1G11020
Brast03G287400	AT3G60820
Brast03G102000	AT1G70060
Brast03G262000	AT5G42510
Brast03G008900	AT4G05460
Brast03G091500	AT5G17210
Brast03G228000	AT1G77030
Brast03G014200	AT3G62000
Brast03G198600	AT5G47390
Brast03G202600	AT4G17080
Brast03G069000	AT1G68220
Brast03G281800	AT5G24620
Brast03G263800	AT1G69770
Brast03G134100	AT4G35905
Brast03G222300	AT5G62740
Brast03G177100	AT4G00720
Brast03G245500	AT3G43240
Brast03G263300	AT5G55670
Brast03G311700	AT4G28730
Brast03G064800	AT4G25840
Brast03G015300	AT5G25930
Brast03G272300	AT3G57670
Brast03G068500	AT4G30410
Brast03G104900	AT5G42560
Brast03G044100	AT4G39300
Brast03G110100	AT5G17540
Brast03G054800	AT1G34260
Brast03G157300	AT1G74410
Brast03G084500	AT2G29360
Brast03G011000	AT2G23140
Brast03G151300	AT5G10745
Brast03G141300	AT2G31170
Brast03G285000	AT4G18100
Brast03G130900	AT3G22540
Brast03G010700	AT1G56010
Brast03G167500	AT5G41140
Brast03G267500	AT4G34050
Brast03G103600	AT3G07040
Brast03G037500	AT2G20340
Brast03G100100	AT1G19660
Brast03G196500	AT4G17330
Brast03G177300	AT3G61140
Brast03G215500	AT2G21820
Brast03G167900	AT5G38170
Brast03G048400	AT5G24510
Brast03G276900	AT1G76490
Brast03G243700	AT4G01950
Brast03G057700	AT3G15380
Brast03G226500	AT5G15930
Brast03G298300	AT5G52160
Brast03G186000	AT2G42000
Brast03G182200	AT1G76340
Brast03G014100	AT5G24600
Brast03G032200	AT4G27030
Brast03G296700	AT2G40070
Brast03G030600	AT1G61660
Brast03G059500	AT3G07040
Brast03G212000	AT2G32260
Brast03G061400	AT5G05800
Brast03G045900	AT5G14370
Brast03G131500	AT1G05430
Brast03G144300	AT3G04400
Brast03G199500	AT2G44830
Brast03G174000	AT5G53580
Brast03G008600	AT4G05460
Brast03G031600	AT4G05050
Brast03G061800	AT5G57560
Brast03G163100	AT3G15480
Brast03G237900	AT1G69560
Brast03G186600	AT4G35230
Brast03G048900	AT5G39280
Brast03G069100	AT2G21910
Brast03G196800	AT1G08845
Brast03G212600	AT5G45590
Brast03G045700	AT5G40650
Brast03G229600	AT2G38870
Brast03G300900	AT2G16730
Brast03G063500	AT5G10650
Brast03G234100	AT1G55170
Brast03G281400	AT2G24420
Brast03G244100	AT1G05087
Brast03G242400	AT3G47520
Brast03G029700	AT5G54260
Brast03G202500	AT5G47080
Brast03G232700	AT3G48280
Brast03G295800	AT1G80750
Brast03G148100	AT1G71220
Brast03G128000	AT2G14835
Brast03G195600	AT1G65680
Brast03G214500	AT2G25737
Brast03G215200	AT1G60660
Brast03G279400	AT1G80290
Brast03G295100	AT2G43560
Brast03G312000	AT5G18460
Brast03G218400	AT5G60860
Brast03G096600	AT5G45390
Brast03G258800	AT5G42340
Brast03G276000	AT2G17350
Brast03G026800	AT1G53280
Brast03G286700	AT1G04860
Brast03G265600	AT1G55760
Brast03G157600	AT2G18980
Brast03G204200	AT1G24510
Brast03G194400	AT1G12110
Brast03G213400	AT5G24280
Brast03G195900	AT4G00050
Brast03G154500	AT1G02050
Brast03G201000	AT4G26000
Brast03G289000	AT3G01920
Brast03G210100	AT3G18410
Brast03G256100	AT3G25710
Brast03G310600	AT3G54700
Brast03G163800	AT4G03430
Brast03G051300	AT5G67150
Brast03G248600	AT1G72610
Brast03G272000	AT5G47560
Brast03G090400	AT3G51120
Brast03G040800	AT1G01280
Brast03G013900	AT1G15910
Brast03G254600	AT4G02720
Brast03G293000	AT3G21630
Brast03G311500	AT1G04620
Brast03G256200	AT2G10940
Brast03G197500	AT3G17730
Brast03G066800	AT2G24790
Brast03G184800	AT2G17290
Brast03G284800	AT2G43130
Brast03G058100	AT5G23420
Brast03G212900	AT5G09640
Brast03G261200	AT5G64200
Brast03G114900	AT3G13600
Brast03G090300	AT5G16120
Brast03G051700	AT1G31480
Brast03G136000	AT5G03320
Brast03G062900	AT3G23570
Brast03G118400	AT1G78230
Brast03G178800	AT4G25433
Brast03G151600	AT2G37210
Brast03G290100	AT4G35540
Brast03G020700	AT4G22760
Brast03G218200	AT5G44440
Brast03G254800	AT2G28210
Brast03G190200	AT5G04480
Brast03G140600	AT5G58360
Brast03G237000	AT1G26761
Brast03G287800	AT3G27190
Brast03G152900	AT5G25260
Brast03G125800	AT1G36160
Brast03G301000	AT4G35000
Brast03G225100	AT2G44240
Brast03G135800	AT2G36970
Brast03G000800	AT2G38670
Brast03G183700	AT2G46820
Brast03G267200	AT4G34050
Brast03G218000	AT3G06730
Brast03G173700	AT5G23450
Brast03G135500	AT3G53810
Brast03G050600	AT4G33420
Brast03G230500	AT4G34030
Brast03G214400	AT2G25800
Brast03G311400	AT5G18450
Brast03G004700	AT2G02130
Brast03G200200	AT5G07590
Brast03G047700	AT4G00100
Brast03G235500	AT4G18550
Brast03G309400	AT3G46730
Brast03G288100	AT5G50380
Brast03G311100	AT2G36930
Brast03G060400	AT5G19000
Brast03G313100	AT3G04500
Brast03G117500	AT2G33740
Brast03G247200	AT1G72470
Brast03G024300	AT5G15810
Brast03G164300	AT1G28100
Brast03G080600	AT1G52500
Brast03G001900	AT2G24360
Brast03G163000	AT2G28510
Brast03G236800	AT1G25520
Brast03G247000	AT3G28610
Brast03G303800	AT1G20550
Brast03G135200	AT5G03380
Brast03G198000	AT2G44940
Brast03G299300	AT5G41940
Brast03G157000	AT5G23370
Brast03G229500	AT1G09380
Brast03G175100	AT4G10730
Brast03G265700	AT1G55740
Brast03G204600	AT2G44870
Brast03G280600	AT2G29200
Brast03G293400	AT4G01990
Brast03G299400	AT2G46660
Brast03G215000	AT4G27940
Brast03G110700	AT1G44800
Brast03G113200	AT1G08230
Brast03G152300	AT5G60690
Brast03G174300	AT4G24130
Brast03G086300	AT1G01120
Brast03G130400	AT3G51895
Brast03G166600	AT5G05980
Brast03G237100	AT3G01140
Brast03G201700	AT5G19910
Brast03G003500	AT4G30200
Brast03G039000	AT2G32300
Brast03G045400	AT5G22540
Brast03G232400	AT3G17840
Brast03G073100	AT1G80880
Brast03G136100	AT5G60740
Brast03G123000	AT5G07710
Brast03G233400	AT1G14900
Brast03G297200	AT4G38900
Brast03G038500	AT5G54590
Brast03G012400	AT1G63940
Brast03G218900	AT1G28960
Brast03G006000	AT2G32210
Brast03G305200	AT2G27770
Brast03G053900	AT4G33440
Brast03G175300	AT2G46620
Brast03G273400	AT3G57810
Brast03G287200	AT3G07220
Brast03G211500	AT3G03050
Brast03G287700	AT5G14180
Brast03G081800	AT3G10380
Brast03G167700	AT4G12825
Brast03G035800	AT2G34630
Brast03G189800	AT5G64010
Brast03G120000	AT4G08685
Brast03G260700	AT4G39970
Brast03G073900	AT1G67780
Brast03G297900	AT3G46530
Brast03G240100	AT3G25430
Brast03G281700	AT4G29950
Brast03G230100	AT4G22140
Brast03G284000	AT3G15460
Brast03G301500	AT4G34940
Brast03G295200	AT2G34930
Brast03G283300	AT5G19000
Brast03G186200	AT3G45970
Brast03G268800	AT1G02290
Brast03G221400	AT5G03610
Brast03G045500	AT5G63190
Brast03G166000	AT1G63245
Brast03G190500	AT3G53130
Brast03G190100	AT3G09925
Brast03G025500	AT2G42780
Brast03G064400	AT5G57410
Brast03G239800	AT2G24270
Brast03G026000	AT1G74530
Brast03G227400	AT1G23890
Brast03G211900	AT1G32080
Brast03G288600	AT5G50400
Brast03G081900	AT4G34110
Brast03G003200	AT4G39490
Brast03G206000	AT1G14200
Brast03G264200	AT3G13224
Brast03G185900	AT2G34930
Brast03G037800	AT4G16730
Brast03G068700	AT5G22500
Brast03G040600	AT1G53660
Brast03G029300	AT5G65210
Brast03G164200	AT4G27460
Brast03G129600	AT5G07610
Brast03G224500	AT4G39770
Brast03G305600	AT1G03430
Brast03G022400	AT2G27110
Brast03G227500	AT1G70290
Brast03G005900	AT5G22540
Brast03G004600	AT5G52230
Brast03G193700	AT4G31810
Brast03G265300	AT1G77980
Brast03G242300	AT1G26820
Brast03G237600	AT5G03760
Brast03G209100	AT5G16880
Brast03G176300	AT4G24040
Brast03G291000	AT3G55600
Brast03G132000	AT5G56460
Brast03G163200	AT5G05800
Brast03G255600	AT4G14480
Brast03G236900	AT1G23110
Brast03G227000	AT5G03340
Brast03G191300	AT1G76630
Brast03G296200	AT4G25800
Brast03G246700	AT1G19210
Brast03G054200	AT5G67150
Brast03G167800	AT1G66850
Brast03G121000	AT5G13700
Brast03G244600	AT1G71010
Brast03G109200	AT5G39090
Brast03G162900	AT1G29940
Brast03G156600	AT1G71270
Brast03G011300	AT2G02360
Brast03G295900	AT5G10460
Brast03G269300	AT2G45350
Brast03G258000	AT2G46550
Brast03G040300	AT1G78520
Brast03G308800	AT2G28190
Brast03G209800	AT5G52980
Brast03G142100	AT2G20330
Brast03G075900	AT4G13700
Brast03G077700	AT4G19440
Brast03G177800	AT5G52110
Brast03G079400	AT5G33280
Brast03G119400	AT4G38180
Brast03G008500	AT3G02100
Brast03G113400	AT3G04610
Brast03G076100	AT3G49180
Brast03G263100	AT1G69010
Brast03G290300	AT4G37530
Brast03G225400	AT4G39840
Brast03G077900	AT5G35100
Brast03G284700	AT4G12970
Brast03G247500	AT2G05940
Brast03G050800	AT1G08480
Brast03G018400	AT1G33060
Brast03G226800	AT1G13520
Brast03G030800	AT3G20650
Brast03G051500	AT5G49900
Brast03G042600	AT3G25690
Brast03G079300	AT1G05500
Brast03G299000	AT4G00905
Brast03G185500	AT4G04605
Brast03G288800	AT5G50410
Brast03G217500	AT3G27870
Brast03G203000	AT1G12410
Brast03G223700	AT1G22150
Brast03G013300	AT4G38120
Brast03G105000	AT4G38810
Brast03G044600	AT3G04120
Brast03G211800	AT1G29790
Brast03G067600	AT2G24630
Brast03G287500	AT1G65320
Brast03G083800	AT4G35160
Brast03G063000	AT5G57560
Brast03G098500	AT5G16180
Brast03G304800	AT4G24770
Brast03G089100	AT2G21050
Brast03G033100	AT5G39110
Brast03G143100	AT4G28706
Brast03G215300	AT4G11070
Brast03G123900	AT1G13920
Brast03G255700	AT2G26560
Brast03G070000	AT1G16080
Brast03G204100	AT3G60190
Brast03G112900	AT1G72090
Brast03G035400	AT3G14470
Brast03G008700	AT5G52660
Brast03G250600	AT2G30070
Brast03G225600	AT1G42480
Brast03G209900	AT4G17940
Brast03G052200	AT2G02570
Brast03G240900	AT5G15210
Brast03G214600	AT2G25737
Brast03G072100	AT5G57900
Brast03G217300	AT1G23740
Brast03G021600	AT3G49010
Brast03G179800	AT1G10360
Brast03G056100	AT4G38470
Brast03G010300	AT4G05460
Brast03G007800	AT1G76870
Brast03G059900	AT3G06190
Brast03G262400	AT5G14390
Brast03G275100	AT1G63380
Brast03G233100	AT2G01620
Brast03G133200	AT3G01180
Brast03G176000	AT4G10790
Brast03G219200	AT1G28960
Brast03G102700	AT4G38190
Brast03G054900	AT1G60950
Brast03G162600	AT4G30580
Brast03G154700	AT3G19840
Brast03G265000	AT5G56040
Brast03G299900	AT4G12300
Brast03G097100	AT5G63610
Brast03G015100	AT5G65710
Brast03G072500	AT1G78730
Brast03G051100	AT1G53050
Brast03G095900	AT3G12203
Brast03G120800	AT2G22300
Brast03G260000	AT3G17530
Brast03G253200	AT3G48700
Brast03G021800	AT5G35530
Brast03G287000	AT3G14430
Brast03G048500	AT4G10610
Brast03G281900	AT5G57240
Brast03G083700	AT1G63660
Brast03G230700	AT1G70160
Brast03G156300	AT3G02680
Brast03G251700	AT1G37130
Brast03G040900	AT1G53600
Brast03G009700	AT5G48930
Brast03G180200	AT1G10370
Brast03G275200	AT3G57980
Brast03G165200	AT2G23790
Brast03G057500	AT1G63500
Brast03G208400	AT3G09110
Brast03G085000	AT3G13224
Brast03G228500	AT1G52820
Brast03G202000	AT4G33510
Brast03G070600	AT5G25850
Brast03G281300	AT3G20260
Brast03G106700	AT4G36290
Brast03G283200	AT5G19000
Brast03G283600	AT5G19000
Brast03G163700	AT3G51000
Brast03G076200	AT5G02700
Brast03G272500	AT3G12640
Brast03G043200	AT1G65660
Brast03G192200	AT4G00460
Brast03G221700	AT2G35160
Brast03G240300	AT1G15870
Brast03G118100	AT5G49970
Brast03G087800	AT2G21140
Brast03G123600	AT3G29090
Brast03G192000	AT4G00440
Brast03G216300	AT3G21360
Brast03G021200	AT2G42030
Brast03G092400	AT2G01930
Brast03G297700	AT2G35110
Brast03G143400	AT4G35490
Brast03G308200	AT2G27920
Brast03G027500	AT3G29670
Brast03G178300	AT4G29140
Brast03G193200	AT2G45180
Brast03G011900	AT2G18740
Brast03G275900	AT4G35470
Brast03G306500	AT3G54300
Brast03G220600	AT2G16050
Brast03G301900	AT4G12350
Brast03G198500	AT1G11260
Brast03G272400	AT3G63540
Brast03G187400	AT4G35140
Brast03G300300	AT1G79400
Brast03G214100	AT3G07040
Brast03G134500	AT1G20190
Brast03G012200	AT1G01500
Brast03G293100	AT5G61820
Brast03G257100	AT1G35220
Brast03G133000	AT5G35910
Brast03G031700	AT4G28556
Brast03G168500	AT1G33400
Brast03G108100	AT5G62350
Brast03G298000	AT3G46530
Brast03G194300	AT1G12110
Brast03G080200	AT5G65560
Brast03G013800	AT1G15910
Brast03G036200	AT3G13682
Brast03G020000	AT1G32050
Brast03G227700	AT1G60190
Brast03G268700	AT1G16220
Brast03G216500	AT3G01480
Brast03G041500	AT1G30540
Brast03G092600	AT2G30810
Brast03G142600	AT3G42170
Brast03G243100	AT1G23870
Brast03G114800	AT1G10417
Brast03G226400	AT5G20090
Brast03G057900	AT3G48900
Brast03G055300	AT5G37830
Brast03G247100	AT2G39840
Brast03G188300	AT3G07040
Brast03G043300	AT1G08640
Brast03G233000	AT3G48280
Brast03G026400	AT5G39865
Brast03G276200	AT4G38220
Brast03G236100	AT3G18550
Brast03G292400	AT5G13300
Brast03G019900	AT3G03070
Brast03G070800	AT2G46750
Brast03G164400	AT4G37780
Brast03G088900	AT4G33550
Brast03G278700	AT1G67325
Brast03G117700	AT1G48830
Brast03G219400	AT4G02550
Brast03G130500	AT1G03080
Brast03G109000	AT5G51820
Brast03G191400	AT3G61410
Brast03G203400	AT3G60210
Brast03G002800	AT1G13270
Brast03G085900	AT1G32780
Brast03G090200	AT1G19715
Brast03G068300	AT5G57740
Brast03G086800	AT3G17940
Brast03G170200	AT1G64940
Brast03G108200	AT5G52450
Brast03G303300	AT2G17070
Brast03G009600	AT4G05460
Brast03G134200	AT4G32600
Brast03G140300	AT2G20370
Brast03G187000	AT3G51420
Brast03G164700	AT1G07210
Brast03G117300	AT5G48930
Brast03G034700	AT1G62040
Brast03G223400	AT2G19790
Brast03G146700	AT4G28600
Brast03G240400	AT5G11000
Brast03G025900	AT1G26830
Brast03G219900	AT2G18600
Brast03G248500	AT5G20630
Brast03G066200	AT5G57620
Brast03G070900	AT5G22670
Brast03G017800	AT1G79730
Brast03G290500	AT1G64940
Brast03G294300	AT3G59310
Brast03G272200	AT5G55500
Brast03G058800	AT3G20870
Brast03G243200	AT1G73080
Brast03G097800	AT1G21230
Brast03G068400	AT4G28030
Brast03G124900	AT5G64320
Brast03G270600	AT1G21230
Brast03G035000	AT3G59040
Brast03G046600	AT2G21210
Brast03G094900	AT5G06710
Brast03G266800	AT5G56270
Brast03G162400	AT1G15130
Brast03G253800	AT4G34410
Brast03G054400	AT5G39450
Brast03G312900	AT3G54670
Brast03G083000	AT1G17220
Brast03G086400	AT3G45070
Brast03G256600	AT2G22500
Brast03G134900	AT4G14870
Brast03G168300	AT5G23760
Brast03G142900	AT5G43920
Brast03G153600	AT3G05000
Brast03G090800	AT2G26030
Brast03G236300	AT5G66990
Brast03G069600	AT4G30490
Brast03G011200	AT5G01390
Brast03G129100	AT3G54560
Brast03G107100	AT2G07050
Brast03G254400	AT5G22480
Brast03G195300	AT1G65680
Brast03G301300	AT1G64295
Brast03G130100	AT4G20350
Brast03G133800	AT1G11320
Brast03G044900	AT3G50140
Brast03G021100	AT2G42030
Brast03G240500	AT1G15860
Brast03G199200	AT5G61620
Brast03G188700	AT4G35840
Brast03G217400	AT3G01510
Brast03G028600	AT1G50840
Brast03G309500	AT5G23940
Brast03G063900	AT4G30190
Brast03G301100	AT2G16720
Brast03G302000	AT2G17080
Brast03G166100	AT1G58290
Brast03G139200	AT1G67120
Brast03G069900	AT1G79660
Brast03G304200	AT5G57520
Brast03G131400	AT3G06950
Brast03G107300	AT1G11680
Brast03G055400	AT1G34350
Brast03G054000	AT4G19950
Brast03G239100	AT2G19380
Brast03G000600	AT2G22230
Brast03G272900	AT5G56710
Brast03G109800	AT1G72680
Brast03G264600	AT2G22560
Brast03G101800	AT2G21520
Brast03G286200	AT1G04850
Brast03G222600	AT3G47730
Brast03G267600	AT4G26455
Brast03G303700	AT1G20540
Brast03G307400	AT4G33410
Brast03G172000	AT5G09810
Brast03G277300	AT5G06740
Brast03G252000	AT1G10780
Brast03G245600	AT3G14250
Brast03G228400	AT5G23040
Brast03G024600	AT1G40390
Brast03G311800	AT5G33370
Brast03G164100	AT5G67270
Brast03G302700	AT2G17070
Brast03G066300	AT3G20330
Brast03G033200	AT1G11650
Brast03G261300	AT1G34670
Brast03G292700	AT5G13330
Brast03G009100	AT3G07040
Brast03G074300	AT3G06190
Brast03G166900	AT4G00570
Brast03G045000	AT3G50180
Brast03G287600	AT4G22430
Brast03G135900	AT5G08305
Brast03G149100	AT1G03950
Brast03G287100	AT3G07210
Brast03G240200	AT5G58070
Brast03G170300	AT1G64940
Brast03G052000	AT4G10170
Brast03G298800	AT4G18180
Brast03G070400	AT3G59550
Brast03G112000	AT1G19180
Brast03G291100	AT5G50790
Brast03G136200	AT2G37020
Brast03G267300	AT4G34050
Brast03G005800	AT3G50160
Brast03G114100	AT3G28480
Brast03G289700	AT4G11880
Brast03G278000	AT5G25070
Brast03G036400	AT4G16820
Brast03G249800	AT3G12050
Brast03G208500	AT5G66230
Brast03G167000	AT1G63260
Brast03G018200	AT2G36080
Brast03G278500	AT4G31115
Brast03G249100	AT1G49470
Brast03G091000	AT3G14460
Brast03G008800	AT4G05460
Brast03G107900	AT4G39080
Brast03G016800	AT4G25225
Brast03G061500	AT4G31550
Brast03G125400	ATCG00280
Brast03G054600	AT1G77610
Brast03G216000	AT2G28380
Brast03G312100	AT4G28706
Brast03G171800	AT1G76240
Brast03G262500	AT2G36620
Brast03G260900	AT4G34210
Brast03G208000	AT4G17890
Brast03G071500	AT3G54740
Brast03G298600	AT5G07250
Brast03G005600	AT2G32210
Brast03G160700	AT5G08535
Brast03G252800	AT1G47480
Brast03G009800	AT3G20740
Brast03G119800	ATCG00270
Brast03G092800	AT5G09640
Brast03G208100	AT1G69630
Brast03G180800	AT1G10370
Brast03G217800	AT5G23960
Brast03G073600	AT3G55490
Brast03G160400	AT2G15220
Brast03G039800	AT4G21750
Brast03G026100	AT1G72570
Brast03G074500	AT3G06190
Brast03G262800	AT1G73880
Brast03G244300	AT3G21240
Brast03G230400	AT2G04620
Brast03G078200	AT5G35090
Brast03G210600	AT2G35490
Brast03G158900	AT2G31270
Brast03G179300	AT2G42010
Brast03G251600	AT1G61730
Brast03G027800	AT3G29670
Brast03G032900	AT5G39110
Brast03G191700	AT1G63680
Brast03G133300	AT5G04890
Brast03G019400	AT1G32360
Brast03G298500	AT1G05840
Brast03G076300	AT2G04420
Brast03G008100	AT5G61480
Brast03G125500	ATCG00300
Brast03G065100	AT5G57460
Brast03G264700	AT5G42830
Brast03G301700	AT3G19910
Brast03G053300	AT4G00120
Brast03G139500	AT3G44960
Brast03G092700	AT3G50670
Brast03G285200	AT3G25230
Brast03G232100	AT5G16560
Brast03G078500	AT5G25270
Brast03G030400	AT4G21390
Brast03G025600	AT3G55160
Brast03G312400	AT3G04380
Brast03G156100	AT3G23880
Brast03G092500	AT1G33490
Brast03G044500	AT1G13440
Brast03G133500	AT2G27140
Brast03G218600	AT5G46060
Brast03G009300	AT4G05460
Brast03G275500	AT1G76420
Brast03G205400	AT4G17980
Brast03G129200	AT3G22910
Brast03G141800	AT1G07040
Brast03G118000	AT5G65270
Brast03G170500	AT4G10380
Brast03G108700	AT2G45620
Brast03G261800	AT3G23890
Brast03G229300	AT1G60010
Brast03G273300	AT1G31490
Brast03G269800	AT5G56000
Brast03G282500	AT2G24550
Brast03G260300	AT5G64260
Brast03G098900	AT4G02450
Brast03G297800	AT5G51970
Brast03G122600	AT5G41220
Brast03G064000	AT3G03660
Brast03G263900	AT5G55820
Brast03G197100	AT4G17350
Brast03G013500	AT1G28010
Brast03G285400	AT3G23770
Brast03G294400	AT3G59350
Brast03G063800	AT5G57330
Brast03G130600	AT1G19260
Brast03G139800	AT1G08600
Brast03G229400	AT3G47890
Brast03G140900	AT2G20370
Brast03G280300	AT1G78910
Brast03G149000	AT3G23340
Brast03G310000	AT3G58190
Brast03G184500	AT5G57620
Brast03G228100	AT1G60200
Brast03G024900	AT5G53390
Brast03G091700	AT4G23890
Brast03G295700	AT3G59990
Brast03G012000	AT4G24370
Brast03G218500	AT3G15080
Brast03G094100	AT1G23550
Brast03G155500	AT1G17330
Brast03G137600	AT4G09980
Brast03G032300	AT5G54890
